municipio,matricula_tecnico
CURITIBA,EXTERNO
MARINGA,EXTERNO
CURITIBA,TC022444
CURITIBA,TR001411
CURITIBA,TR001460
CURITIBA,TR002043
CURITIBA,TR002050
MARINGA,TR002403
MARINGA,TR002513
MARINGA,TR002905
CURITIBA,TR013892
CURITIBA,TR013970
CURITIBA,TR014292
CURITIBA,TR014321
CURITIBA,TR014574
CURITIBA,TR014618
CURITIBA,TR032581
CURITIBA,TR060713
CURITIBA,TR061064
CURITIBA,TR064451
MARINGA,TR068370
MARINGA,TR068832
CURITIBA,TR069910
CURITIBA,TR084429
CURITIBA,TR088955
CURITIBA,TR089081
CURITIBA,TR106960
CURITIBA,TR115091
MARINGA,TR175631
CURITIBA,TR307599
CURITIBA,TR383489
CURITIBA,TR401079
CURITIBA,TR435996
CURITIBA,TR436012
CURITIBA,TR439001
MARINGA,TR443497
CURITIBA,TR470887
CURITIBA,TR490843
CURITIBA,TR495054
CURITIBA,TR496092
CURITIBA,TR511529
CURITIBA,TR511533
CURITIBA,TR511541
CURITIBA,TR521656
CURITIBA,TR521815
CURITIBA,TR525156
CURITIBA,TR525271
CURITIBA,TR526843
CURITIBA,TR528206
CURITIBA,TR528617
CURITIBA,TR559000
CURITIBA,TR561016
CURITIBA,TR566926
CURITIBA,TR572630
CURITIBA,TR572634
CURITIBA,TR572988
CURITIBA,TR573833
CURITIBA,TR575671
CURITIBA,TR576554
CURITIBA,TR576569
CURITIBA,TR590925
CURITIBA,TR590936
MARINGA,TR598997
CURITIBA,TR605930
CURITIBA,TR612669
CURITIBA,TR612677
CURITIBA,TR614425
CURITIBA,TR614426
CURITIBA,TR614599
CURITIBA,TR615203
CURITIBA,TR615264
CURITIBA,TR615266
CURITIBA,TR615267
CURITIBA,TR615289
CURITIBA,TR618077
CURITIBA,TR649749
MARINGA,TR652878
CURITIBA,TR655440
CURITIBA,TR655459
CURITIBA,TR655479
CURITIBA,TR655634
CURITIBA,TR655847
CURITIBA,TR658059
CURITIBA,TR658060
CURITIBA,TR658069
CURITIBA,TR658082
CURITIBA,TR658423
CURITIBA,TR658424
CURITIBA,TR658732
CURITIBA,TR660298
CURITIBA,TR660299
CURITIBA,TR660303
CURITIBA,TR660305
CURITIBA,TR661376
CURITIBA,TR665403
CURITIBA,TR665408
CURITIBA,TR665417
CURITIBA,TR669366
CURITIBA,TR669369
CURITIBA,TR678135
CURITIBA,TR678701
CURITIBA,TR682760
CURITIBA,TR683007
CURITIBA,TR690917
CURITIBA,TR709373
CURITIBA,TR717868
CURITIBA,TR720499
CURITIBA,TR720508
MARINGA,TR720706
CURITIBA,TR722864
CURITIBA,TR722866
CURITIBA,TR722875
CURITIBA,TR722876
CURITIBA,TR722878
CURITIBA,TR722906
CURITIBA,TR725505
CURITIBA,TR725506
MARINGA,TR727827
CURITIBA,TR728231
CURITIBA,TR729537
CURITIBA,TR730533
CURITIBA,TR733836
MARINGA,TR733909
MARINGA,TR738181
CURITIBA,TR740491
MARINGA,TR741396
MARINGA,TR741397
MARINGA,TR741412
MARINGA,TR741415
MARINGA,TR747857
CURITIBA,TR750189
CURITIBA,TR750190
MARINGA,TR750298
CURITIBA,TR750300
CURITIBA,TR750492
CURITIBA,TR755481
CURITIBA,TR756031
CURITIBA,TR756048
CURITIBA,TR758398
CURITIBA,TR758407
CURITIBA,TR758729
CURITIBA,TR761195
CURITIBA,TR761219
CURITIBA,TR776292
CURITIBA,TR776295
CURITIBA,TR776296
MARINGA,TR776299
CURITIBA,TR776306
CURITIBA,TR776309
CURITIBA,TR782338
CURITIBA,TR783918
CURITIBA,TR783922
