uf;municipio;matricula_tecnico;setor
PR;CURITIBA;TC022444;PR.CSM.TAR.11
PR;CURITIBA;TC022444;PR.CWS.BOQ.11
PR;CURITIBA;TC022444;PR.CWN.CEO.11
PR;CURITIBA;TR001411;PR.CWS.ARR.11
PR;CURITIBA;TR001411;PR.CWS.ARR.12
PR;CURITIBA;TR001460;PR.CWS.ARR.11
PR;CURITIBA;TR001460;PR.CWS.ARR.12
PR;CURITIBA;TR002043;PR.CWS.ARR.11
PR;CURITIBA;TR002043;PR.CWS.ARR.13
PR;CURITIBA;TR002043;PR.CWS.ARR.12
PR;CURITIBA;TR002050;PR.CWS.PIN.12
PR;CURITIBA;TR002050;PR.CWS.PIN.11
PR;CURITIBA;TR013892;PR.CWS.ARR.12
PR;CURITIBA;TR013892;PR.CWS.ARR.11
PR;CURITIBA;TR013970;PR.CNM.BOV.11
PR;CURITIBA;TR014292;PR.CWN.SFE.11
PR;CURITIBA;TR014292;PR.CWN.CEO.12
PR;CURITIBA;TR014292;PR.CWN.CEO.11
PR;CURITIBA;TR014292;PR.CWS.PIN.11
PR;CURITIBA;TR014321;PR.CWN.CEO.11
PR;CURITIBA;TR014321;PR.CWN.CEO.12
PR;CURITIBA;TR014574;PR.CWN.CEO.12
PR;CURITIBA;TR014574;PR.CWN.CEO.11
PR;CURITIBA;TR014618;PR.CWS.BOQ.11
PR;CURITIBA;TR014618;PR.CWS.ARR.12
PR;CURITIBA;TR014618;PR.CWS.PIN.11
PR;CURITIBA;TR014618;PR.CWS.ARR.11
PR;CURITIBA;TR014618;PR.CWS.ARR.13
PR;CURITIBA;TR032581;PR.CNM.ATT.11
PR;CURITIBA;TR060713;PR.CWN.SFE.11
PR;CURITIBA;TR060713;PR.CWN.CEO.12
PR;CURITIBA;TR061064;PR.CWN.SFE.11
PR;CURITIBA;TR064451;PR.CNM.BOV.11
PR;CURITIBA;TR064451;PR.CSM.TAR.11
PR;CURITIBA;TR069910;PR.CNM.BOV.11
PR;CURITIBA;TR069910;PR.CWS.ARR.12
PR;CURITIBA;TR084429;PR.CWS.ARR.12
PR;CURITIBA;TR084429;PR.CWS.BOQ.11
PR;CURITIBA;TR084429;PR.CWS.ARR.11
PR;CURITIBA;TR084429;PR.CWS.ARR.13
PR;CURITIBA;TR084429;PR.CWS.PIN.11
PR;CURITIBA;TR088955;PR.CWS.BOQ.11
