uf;municipio;matricula_tecnico;setor
PR;MARINGA;TR002403;PR.MGA.MGA.11
PR;MARINGA;TR002513;PR.MGA.MGA.11
PR;MARINGA;TR002905;PR.MGA.MGA.12
PR;MARINGA;TR068370;PR.MGA.MGA.12
PR;MARINGA;TR068832;PR.MGA.MGA.11
PR;MARINGA;TR068832;PR.MGA.MGA.12
PR;MARINGA;TR175631;PR.MGA.MGA.11
PR;MARINGA;TR443497;PR.MGA.MGA.11
PR;MARINGA;TR443497;PR.MGA.MGA.12
PR;MARINGA;TR598997;PR.MGA.MGA.11
PR;MARINGA;TR652878;PR.MGA.MGA.12
PR;MARINGA;TR652878;PR.MGA.MGA.11
PR;MARINGA;TR720706;PR.MGA.MGA.11
PR;MARINGA;TR727827;PR.MGA.MGA.11
PR;MARINGA;TR727827;PR.MGA.MGA.12
PR;MARINGA;TR733909;PR.MGA.MGA.11
PR;MARINGA;TR738181;PR.MGA.MGA.11
PR;MARINGA;TR741396;PR.MGA.MGA.11
PR;MARINGA;TR741397;PR.MGA.MGA.11
PR;MARINGA;TR741412;PR.MGA.MGA.11
PR;MARINGA;TR741415;PR.MGA.MGA.11
PR;MARINGA;TR747857;PR.MGA.MGA.11
PR;MARINGA;TR750298;PR.MGA.MGA.11
PR;MARINGA;TR776299;PR.MGA.MGA.12
PR;MARINGA;TR776299;PR.MGA.MGA.11
PR;MARINGA;TR787713;PR.MGA.MGA.12
PR;MARINGA;TR788265;PR.MGA.MGA.11
PR;MARINGA;TR788454;PR.MGA.MGA.11
PR;MARINGA;TR788647;PR.MGA.MGA.11
PR;MARINGA;TR789160;PR.MGA.MGA.11
PR;MARINGA;TR789163;PR.MGA.MGA.11
PR;MARINGA;TR790512;PR.MGA.MGA.12
PR;MARINGA;TR790514;PR.MGA.MGA.12
PR;MARINGA;TR790517;PR.MGA.MGA.12
PR;MARINGA;TR791352;PR.MGA.MGA.11
PR;MARINGA;TR792062;PR.MGA.MGA.12
PR;MARINGA;TR792315;PR.MGA.MGA.11
PR;MARINGA;TR792322;PR.MGA.MGA.11
PR;MARINGA;TR792946;PR.MGA.MGA.11
PR;MARINGA;TR793201;PR.MGA.MGA.11
PR;MARINGA;TR793716;PR.MGA.MGA.11
PR;MARINGA;TR794413;PR.MGA.MGA.11
PR;MARINGA;TR057914;PR.MGA.MGA.12
PR;MARINGA;TR068370;PR.MGA.MGA.11
PR;MARINGA;TR750297;PR.MGA.MGA.11
PR;MARINGA;TR794775;PR.MGA.MGA.11
